sequence;method;ape_rmse;rpe_rmse;coverage_pct;status
0;dpvo;122,1363948;0,525717174;100;OK
1;dpvo;11,31625445;0,089279851;100;OK
2;dpvo;132,5974624;0,544745661;100;OK
3;dpvo;2,877416828;0,050378494;100;OK
4;dpvo;1,386776674;0,039396883;100;OK
5;dpvo;66,58695466;0,37366857;100;OK
6;dpvo;64,85216452;0,431258555;100;OK
7;dpvo;21,15855375;0,1761794;100;OK
8;dpvo;129,3849302;0,603995641;100;OK
9;dpvo;85,83356211;0,346895246;100;OK
10;dpvo;18,89011272;0,158163823;100;OK
0;droid;116,1300515;0,468209937;100;OK
1;droid;92,1904736;1,109924881;100;OK
2;droid;134,7674156;0,55356992;100;OK
3;droid;3,281955032;0,052036436;100;OK
4;droid;2,0006849;0,059895871;100;OK
5;droid;81,95881638;0,434810352;100;OK
6;droid;60,83366803;0,396274543;100;OK
7;droid;29,91549981;0,239644146;100;OK
8;droid;94,95939822;0,518072781;100;OK
9;droid;99,53877673;0,870292727;100;OK
10;droid;25,48053636;0,212908258;100;OK
0;orb;8,174569075;0,210078157;45,87095353;OK
1;orb;518,0429127;9,244491194;43,77838329;OK
2;orb;29,08402839;0,210972945;58,63548595;OK
3;orb;1,063770354;0,041826706;50,93632959;OK
4;orb;1,10485106;0,06097303;56,82656827;OK
5;orb;5,489793955;0,289747939;45,09235784;OK
6;orb;19,29620702;1,285087164;50,40871935;OK
7;orb;4,599820669;0,213183146;49,13714805;OK
8;orb;47,16240833;0,497826824;57,70081061;OK
9;orb;35,64269135;5,844873286;55,68824639;OK
10;orb;8,087669737;0,121246409;57,11906744;OK
